source,target,source_geo,target_geo,weight_2018,weight_2020,weight_2022
AT,DE,AT,DE,37,36,80
AT,IT,AT,IT,27,0,0
BE,DE,BE,DE,29,25,46
BE,ES,BE,ES,0,0,38
BE,FR,BE,FR,0,25,36
BE,IT,BE,IT,40,44,60
BE,NL,BE,NL,0,25,44
DE,DK,DE,DK,0,0,27
DE,ES,DE,ES,51,50,65
DE,FR,DE,FR,55,45,72
DE,IT,DE,IT,87,122,117
DE,NL,DE,NL,56,81,99
DE,SE,DE,SE,37,41,51
DE,TR,DE,TR,0,0,31
ES,FR,ES,FR,32,44,70
ES,IT,ES,IT,44,50,95
ES,NL,ES,NL,0,25,43
ES,PT,ES,PT,25,0,28
ES,SE,ES,SE,0,0,26
FR,IT,FR,IT,73,66,87
FR,NL,FR,NL,0,39,32
IT,NL,IT,NL,48,67,84
IT,RO,IT,RO,43,0,0
IT,SE,IT,SE,26,42,26
IT,TR,IT,TR,0,0,25
NL,SE,NL,SE,0,25,0
