geo,country_name,industrial_2022,service_2022,gap_industrial_service
AT,Austria,4.19,2.22,1.9700000000000002
BA,Bosnia and Herzegovina,5.01,1.34,3.67
BE,Belgium,8.11,3.5,4.609999999999999
BG,Bulgaria,2.64,1.14,1.5000000000000002
CY,Cyprus,1.52,0.16,1.36
CZ,Czechia,5.66,0.72,4.94
DE,Germany,3.85,1.89,1.9600000000000002
DK,Denmark,8.57,4.19,4.38
EE,Estonia,4.3,1.57,2.7299999999999995
EL,Greece,1.79,0.27,1.52
ES,Spain,6.47,3.36,3.11
FI,Finland,6.85,3.13,3.7199999999999998
FR,France,6.06,1.79,4.27
HR,Croatia,2.81,1.7,1.11
HU,Hungary,3.22,1.25,1.9700000000000002
IE,Ireland,2.77,1.01,1.76
IT,Italy,6.21,4.1,2.1100000000000003
LT,Lithuania,3.58,1.94,1.6400000000000001
LU,Luxembourg,3.24,1.67,1.5700000000000003
LV,Latvia,3.97,2.31,1.6600000000000001
ME,Montenegro,0.99,2.39,-1.4000000000000001
MK,North Macedonia,3.07,4.81,-1.7399999999999998
MT,Malta,5.2,2.8,2.4000000000000004
NL,Netherlands,5.24,1.7,3.54
NO,Norway,2.78,1.62,1.1599999999999997
PL,Poland,3.66,1.19,2.47
PT,Portugal,5.49,3.64,1.85
RO,Romania,2.23,0.86,1.37
RS,Serbia,2.87,0.66,2.21
SE,Sweden,5.38,2.5,2.88
SI,Slovenia,6.2,0.84,5.36
SK,Slovakia,5.69,2.07,3.6200000000000006
TR,Turkey,3.92,1.43,2.49
