geo,country_name,sector_code,sector_label,year,value
AL,Albania,C,Manufacturing,2022,8.54
AL,Albania,G,Wholesale & retail,2022,2.78
AL,Albania,J,Information & communication,2022,4.21
AL,Albania,F,Construction,2022,9.22
AL,Albania,N,Administrative services,2022,6.68
AT,Austria,C,Manufacturing,2018,20.9
AT,Austria,C,Manufacturing,2020,23.76
AT,Austria,C,Manufacturing,2022,17.6
AT,Austria,G,Wholesale & retail,2018,4.09
AT,Austria,G,Wholesale & retail,2020,4.18
AT,Austria,G,Wholesale & retail,2022,3.65
AT,Austria,J,Information & communication,2018,2.97
AT,Austria,J,Information & communication,2020,1.57
AT,Austria,J,Information & communication,2022,6.35
AT,Austria,F,Construction,2018,1.48
AT,Austria,F,Construction,2020,0.24
AT,Austria,F,Construction,2022,0.76
AT,Austria,N,Administrative services,2018,1.29
AT,Austria,N,Administrative services,2020,0.35
AT,Austria,N,Administrative services,2022,1.84
AT,Austria,H,Transport & storage,2018,0.32
AT,Austria,H,Transport & storage,2020,1.35
AT,Austria,H,Transport & storage,2022,2.66
AT,Austria,I,Accommodation & food,2018,0.0
AT,Austria,I,Accommodation & food,2020,0.56
AT,Austria,I,Accommodation & food,2022,1.65
AT,Austria,ICT,ICT sector,2018,4.68
AT,Austria,ICT,ICT sector,2020,3.72
AT,Austria,ICT,ICT sector,2022,5.38
BA,Bosnia and Herzegovina,C,Manufacturing,2020,10.65
BA,Bosnia and Herzegovina,C,Manufacturing,2022,14.04
BA,Bosnia and Herzegovina,G,Wholesale & retail,2020,0.84
BA,Bosnia and Herzegovina,J,Information & communication,2022,0.0
BA,Bosnia and Herzegovina,F,Construction,2020,1.32
BA,Bosnia and Herzegovina,N,Administrative services,2022,0.0
BA,Bosnia and Herzegovina,H,Transport & storage,2020,0.0
BA,Bosnia and Herzegovina,H,Transport & storage,2022,0.84
BE,Belgium,C,Manufacturing,2022,28.35
BE,Belgium,G,Wholesale & retail,2020,7.23
BE,Belgium,G,Wholesale & retail,2022,7.84
BE,Belgium,J,Information & communication,2020,5.62
BE,Belgium,J,Information & communication,2022,1.91
BE,Belgium,F,Construction,2020,7.87
BE,Belgium,F,Construction,2022,7.42
BE,Belgium,N,Administrative services,2020,1.38
BE,Belgium,N,Administrative services,2022,3.83
BE,Belgium,H,Transport & storage,2020,3.17
BE,Belgium,H,Transport & storage,2022,8.07
BE,Belgium,I,Accommodation & food,2020,0.0
BE,Belgium,I,Accommodation & food,2022,3.5
BE,Belgium,ICT,ICT sector,2020,5.91
BE,Belgium,ICT,ICT sector,2022,2.19
BG,Bulgaria,C,Manufacturing,2018,9.93
BG,Bulgaria,C,Manufacturing,2020,14.07
BG,Bulgaria,C,Manufacturing,2022,9.64
BG,Bulgaria,G,Wholesale & retail,2018,2.14
BG,Bulgaria,G,Wholesale & retail,2020,2.31
BG,Bulgaria,G,Wholesale & retail,2022,1.67
BG,Bulgaria,F,Construction,2018,3.28
BG,Bulgaria,F,Construction,2020,3.6
BG,Bulgaria,F,Construction,2022,0.79
BG,Bulgaria,N,Administrative services,2020,4.11
BG,Bulgaria,H,Transport & storage,2018,2.79
BG,Bulgaria,H,Transport & storage,2020,3.39
BG,Bulgaria,I,Accommodation & food,2018,1.9
BG,Bulgaria,I,Accommodation & food,2020,1.03
BG,Bulgaria,ICT,ICT sector,2018,5.15
