geo,country_name,year,size_class,size_label,value
AL,Albania,2022,10-49,Small (10-49 employees),4.29
AL,Albania,2022,50-249,Medium (50-249 employees),9.25
AL,Albania,2022,GE250,Large (250+ employees),13.75
AT,Austria,2018,10-49,Small (10-49 employees),3.6
AT,Austria,2018,50-249,Medium (50-249 employees),10.22
AT,Austria,2018,GE250,Large (250+ employees),29.89
AT,Austria,2020,10-49,Small (10-49 employees),3.56
AT,Austria,2020,50-249,Medium (50-249 employees),12.63
AT,Austria,2020,GE250,Large (250+ employees),32.43
AT,Austria,2022,10-49,Small (10-49 employees),3.68
AT,Austria,2022,50-249,Medium (50-249 employees),11.3
AT,Austria,2022,GE250,Large (250+ employees),27.67
BA,Bosnia and Herzegovina,2020,10-49,Small (10-49 employees),2.18
BA,Bosnia and Herzegovina,2020,50-249,Medium (50-249 employees),7.66
BA,Bosnia and Herzegovina,2020,GE250,Large (250+ employees),18.83
BA,Bosnia and Herzegovina,2022,10-49,Small (10-49 employees),4.89
BA,Bosnia and Herzegovina,2022,50-249,Medium (50-249 employees),8.6
BA,Bosnia and Herzegovina,2022,GE250,Large (250+ employees),14.43
BE,Belgium,2020,10-49,Small (10-49 employees),7.18
BE,Belgium,2020,50-249,Medium (50-249 employees),17.85
BE,Belgium,2020,GE250,Large (250+ employees),28.66
BE,Belgium,2022,10-49,Small (10-49 employees),7.94
BE,Belgium,2022,50-249,Medium (50-249 employees),17.84
BE,Belgium,2022,GE250,Large (250+ employees),34.57
BG,Bulgaria,2018,10-49,Small (10-49 employees),3.34
BG,Bulgaria,2018,50-249,Medium (50-249 employees),8.55
BG,Bulgaria,2018,GE250,Large (250+ employees),17.63
BG,Bulgaria,2020,10-49,Small (10-49 employees),4.24
BG,Bulgaria,2020,50-249,Medium (50-249 employees),10.05
BG,Bulgaria,2020,GE250,Large (250+ employees),20.48
BG,Bulgaria,2022,10-49,Small (10-49 employees),2.37
BG,Bulgaria,2022,50-249,Medium (50-249 employees),6.57
BG,Bulgaria,2022,GE250,Large (250+ employees),14.88
CY,Cyprus,2018,10-49,Small (10-49 employees),1.11
CY,Cyprus,2018,50-249,Medium (50-249 employees),1.78
CY,Cyprus,2018,GE250,Large (250+ employees),2.9
CY,Cyprus,2020,10-49,Small (10-49 employees),2.48
CY,Cyprus,2020,50-249,Medium (50-249 employees),3.79
CY,Cyprus,2020,GE250,Large (250+ employees),2.88
CY,Cyprus,2022,10-49,Small (10-49 employees),1.2
CY,Cyprus,2022,50-249,Medium (50-249 employees),4.04
CY,Cyprus,2022,GE250,Large (250+ employees),5.9
CZ,Czechia,2018,10-49,Small (10-49 employees),2.85
CZ,Czechia,2018,50-249,Medium (50-249 employees),14.42
CZ,Czechia,2018,GE250,Large (250+ employees),30.98
CZ,Czechia,2020,10-49,Small (10-49 employees),3.93
CZ,Czechia,2020,50-249,Medium (50-249 employees),13.51
