DATAFLOW,LAST UPDATE,freq,size_emp,nace_r2,indic_is,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_EB_P3D(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_P3D,PC_ENT,DE,2018,2.99,,
ESTAT:ISOC_EB_P3D(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_P3D,PC_ENT,DE,2020,3.69,,
ESTAT:ISOC_EB_P3D(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_P3D,PC_ENT,ES,2018,1.18,,
ESTAT:ISOC_EB_P3D(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_P3D,PC_ENT,ES,2020,2.34,,
ESTAT:ISOC_EB_P3D(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_P3D,PC_ENT,PT,2018,1.59,,
ESTAT:ISOC_EB_P3D(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_P3D,PC_ENT,PT,2020,2.67,,
ESTAT:ISOC_EB_P3D(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_P3D,PC_ENT,UK,2018,2.16,,
ESTAT:ISOC_EB_P3D(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_P3D,PC_ENT,UK,2020,0.95,,
ESTAT:ISOC_EB_P3D(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_P3D,PC_ENT_CUSE,DE,2018,3.14,,
ESTAT:ISOC_EB_P3D(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_P3D,PC_ENT_CUSE,ES,2018,1.53,,
ESTAT:ISOC_EB_P3D(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_P3D,PC_ENT_CUSE,PT,2018,1.80,,
ESTAT:ISOC_EB_P3D(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_P3D,PC_ENT_CUSE,UK,2018,2.55,,
ESTAT:ISOC_EB_P3D(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_P3D1_OTH,PC_ENT,DE,2020,2.38,,
ESTAT:ISOC_EB_P3D(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_P3D1_OTH,PC_ENT,ES,2020,2.00,,
ESTAT:ISOC_EB_P3D(1.0),17/07/25 11:00:00,A,0-9,C10-S951_X_K,E_P3D1_OTH,PC_ENT,PT,2020,1.85,,
